ideology,religion,risk_seeking,expend_total,seems_fun,enjoy_thinking,self_control,risk_aversion,gender,age,marital,employment,urban,education,income,white,black,hispanic,income_delta,expend_delta,overconfidence,lottery_payout,happiness,financial_literacy,financial_numeracy,gamblers_fallacy,non_belief_lln,ev_miscalculation,income_effects_delta_pct,state,expenditures_share_income,education_5,education_10,education_15,education_20
Moderate,0.0,-5,0.0,0 - Neutral,0 - Neutral,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,32.0,Married,1.0,Metro Area,16.0,67.5,1.0,0.0,0.0,0.0,0.0,0.0,0.55,,0.8,0.6666667,1.0,0.6088397,1.0,0.0,MD,0.0,1,1,1,0
Liberal,1.0,-5,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Male,44.0,Married,1.0,Metro Area,14.0,92.5,0.0,1.0,0.0,37.5,0.0,-0.3,0.15,6.0,0.6,0.6666667,1.0,0.5270333,1.0,0.0,MD,0.0,1,1,0,0
Slightly Conservative,0.0,-4,0.0,1,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,65.0,Married,1.0,Metro Area,13.0,92.5,1.0,0.0,0.0,2.5,0.0,0.0,0.35,8.0,1.0,0.6666667,0.6666667,0.37036666,0.75,2.5,MD,0.0,1,1,0,0
Liberal,0.0,-4,100.0,0 - Neutral,3 - Strongly Agree,-3 - Far too little,No financial risks.,Male,34.0,0.0,0.0,Metro Area,13.0,27.5,0.0,1.0,0.0,17.5,37.5,0.3,0.55,5.0,0.4,0.33333334,0.6666667,0.4437,0.75,0.0,MD,3.6363636363636362,1,1,0,0
Slightly Conservative,1.0,-4,5.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,22.0,0.0,0.0,Metro Area,13.0,22.5,1.0,0.0,0.0,50.0,0.0,0.0,0.05,6.0,0.8,0.6666667,0.0,0.3937,1.0,0.0,MD,0.2222222222222222,1,1,0,0
Liberal,0.0,-4,5.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,25.0,0.0,1.0,Metro Area,13.0,137.5,0.0,1.0,0.0,2.5,0.0,-0.4,0.45,4.0,0.4,0.6666667,1.0,0.32703334,0.75,2.5,MD,0.03636363636363636,1,1,0,0
Moderate,1.0,-3,3.0,1,2,-3 - Far too little,Above-average financial risks expecting to earn above-average returns.,Female,39.0,0.0,1.0,Metro Area,16.0,187.5,1.0,0.0,0.0,2.5,-50.0,0.0,0.15,0.0,1.0,0.6666667,0.0,0.42703333,1.0,-2.5,MD,0.016,1,1,1,0
Liberal,0.0,-5,0.0,-1,0 - Neutral,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,34.0,Married,1.0,Metro Area,20.0,112.5,1.0,0.0,0.0,2.5,0.0,0.2,0.15,-3.0,1.0,1.0,0.0,0.42703333,1.0,0.0,MD,0.0,1,1,1,1
Liberal,0.0,-3,5.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,59.0,0.0,0.0,Metro Area,13.0,112.5,0.0,1.0,0.0,2.5,-37.5,0.0,0.65,2.0,0.8,0.6666667,0.0,0.072966665,0.25,-50.0,MD,0.044444444444444446,1,1,0,0
Slightly Conservative,0.0,-5,10.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,47.0,0.0,1.0,Metro Area,14.0,67.5,1.0,0.0,0.0,7.5,0.0,0.1,0.15,2.0,0.8,0.6666667,1.0,0.82703334,1.0,2.5,MD,0.14814814814814814,1,1,0,0
Liberal,1.0,-2,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Female,71.0,Married,0.0,Metro Area,14.0,67.5,1.0,0.0,0.0,2.5,0.0,-0.2,0.25,5.0,0.8,1.0,0.0,0.42703333,0.75,0.0,MD,0.0,1,1,0,0
Liberal,1.0,-2,300.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,33.0,0.0,1.0,Metro Area,13.0,27.5,0.0,1.0,0.0,2.5,2.5,0.0,0.15,0.0,0.8,0.0,0.6666667,0.5937,1.0,-50.0,MD,10.909090909090908,1,1,0,0
Conservative,1.0,-3,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,70.0,Married,1.0,Metro Area,14.0,67.5,1.0,0.0,0.0,2.5,0.0,0.0,0.55,7.0,1.0,1.0,0.0,0.5970333,0.25,0.0,MD,0.0,1,1,0,0
Moderate,1.0,-5,100.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Substantial financial risks expecting to earn substantial returns.,Female,29.0,Married,0.0,Metro Area,14.0,32.5,0.0,1.0,0.0,17.5,-7.5,0.5,0.25,7.0,0.6,0.6666667,0.6666667,0.62703335,1.0,50.0,MD,3.076923076923077,1,1,0,0
Extremely Liberal,0.0,-1 - Very unwilling,0.0,-3 - Strongly Disagree,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,40.0,0.0,1.0,Metro Area,12.0,22.5,0.0,0.0,1.0,-7.5,0.0,0.0,0.05,5.0,1.0,1.0,0.0,0.42703333,1.0,0.0,MD,0.0,1,1,0,0
Moderate,0.0,-4,10.0,0 - Neutral,2,0 - The right amount,No financial risks.,Female,24.0,0.0,1.0,Metro Area,12.0,45.0,1.0,0.0,0.0,-50.0,-50.0,0.0,0.15,0.0,0.2,0.0,0.6666667,0.32796666,1.0,0.0,MD,0.2222222222222222,1,1,0,0
Extremely Liberal,0.0,-3,0.0,-1,-1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,40.0,0.0,1.0,Metro Area,20.0,250.0,1.0,0.0,0.0,2.5,0.0,0.0,0.05,0.0,1.0,1.0,0.0,0.0253,0.0,0.0,MD,0.0,1,1,1,1
Conservative,1.0,-2,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,70.0,Married,0.0,Metro Area,14.0,67.5,1.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,1.0,0.6666667,1.0,0.42703333,0.25,0.0,MD,0.0,1,1,0,0
Slightly Liberal,0.0,-5,10.0,2,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,31.0,Married,1.0,Metro Area,18.0,92.5,0.0,1.0,0.0,2.5,0.0,0.3,0.75,-3.0,0.8,1.0,0.0,0.42703333,0.5,17.5,MD,0.10810810810810811,1,1,1,0
Extremely Liberal,0.0,-3,100.0,2,3 - Strongly Agree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,38.0,0.0,1.0,Metro Area,14.0,92.5,0.0,1.0,0.0,-7.5,0.0,0.8,0.15,1.0,1.0,1.0,0.0,0.32703334,0.25,-37.5,MD,1.0810810810810811,1,1,0,0
Extremely Liberal,0.0,-4,0.0,-1,2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,44.0,0.0,1.0,Metro Area,18.0,92.5,1.0,0.0,0.0,2.5,0.0,0.1,0.15,1.0,1.0,0.6666667,0.0,0.42703333,0.0,0.0,MD,0.0,1,1,1,0
Moderate,0.0,-4,2.0,1,2,1,Average financial risks expecting to earn average returns.,Male,33.0,Married,0.0,Metro Area,16.0,67.5,1.0,0.0,0.0,-7.5,2.5,0.0,0.15,0.0,1.0,1.0,0.0,0.041966666,0.0,-2.5,MD,0.02962962962962963,1,1,1,0
Moderate,0.0,-1 - Very unwilling,0.0,0 - Neutral,2,0 - The right amount,No financial risks.,Female,32.0,0.0,1.0,Metro Area,12.0,27.5,0.0,0.0,0.0,2.5,0.0,-0.3,0.45,8.0,0.4,0.6666667,0.0,0.37703332,1.0,0.0,MD,0.0,1,1,0,0
Moderate,1.0,-4,6.0,0 - Neutral,0 - Neutral,0 - The right amount,,Female,59.0,0.0,1.0,Metro Area,13.0,92.5,0.0,1.0,0.0,-37.5,37.5,-1.6,0.25,,0.2,0.0,0.0,0.42703333,1.0,0.0,MD,0.06486486486486487,1,1,0,0
Liberal,0.0,-5,0.0,1,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,39.0,0.0,1.0,Metro Area,18.0,55.0,1.0,0.0,0.0,7.5,0.0,0.0,0.45,10.0,1.0,1.0,0.0,0.7003667,1.0,0.0,MD,0.0,1,1,1,0
Conservative,0.0,-4,30.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,70.0,Married,1.0,Metro Area,13.0,112.5,0.0,1.0,0.0,-7.5,-17.5,0.0,0.55,8.0,1.0,0.33333334,1.0,0.0387,1.0,0.0,MD,0.26666666666666666,1,1,0,0
Conservative,0.0,-4,1.0,0 - Neutral,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,72.0,0.0,0.0,Metro Area,13.0,17.5,0.0,0.0,0.0,0.0,-50.0,0.0,0.15,6.0,0.6,0.6666667,0.0,0.39703333,1.0,-7.5,MD,0.05714285714285714,1,1,0,0
Liberal,0.0,-2,0.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,68.0,0.0,0.0,Metro Area,13.0,17.5,0.0,0.0,1.0,-50.0,-50.0,0.0,0.15,10.0,0.6,0.0,1.0,0.7437,0.5,-37.5,MD,0.0,1,1,0,0
Liberal,0.0,-2,0.0,-2,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Female,33.0,0.0,1.0,Metro Area,18.0,80.0,1.0,0.0,0.0,2.5,0.0,0.0,0.35,-3.0,1.0,1.0,0.0,0.66036665,0.25,0.0,MD,0.0,1,1,1,0
Liberal,0.0,-5,150.0,3 - Strongly Agree,0 - Neutral,0 - The right amount,No financial risks.,Male,44.0,0.0,1.0,Metro Area,18.0,137.5,0.0,1.0,0.0,2.5,-7.5,-0.1,0.55,5.0,1.0,0.6666667,0.6666667,0.3737,0.75,0.0,MD,1.0909090909090908,1,1,1,0
Moderate,0.0,-5,200.0,2,3 - Strongly Agree,3 - Far too much,Average financial risks expecting to earn average returns.,Male,54.0,0.0,1.0,Non-Metro Area,12.0,92.5,1.0,0.0,0.0,2.5,-7.5,0.0,0.05,5.0,0.8,0.6666667,0.6666667,0.1771,1.0,0.0,ME,2.1621621621621623,1,1,0,0
Liberal,1.0,-4,24.0,1,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,79.0,0.0,0.0,Metro Area,16.0,45.0,1.0,0.0,0.0,,0.0,0.0,0.55,7.2,1.0,1.0,0.0,0.42703333,0.25,0.0,ME,0.5333333333333333,1,1,1,0
Conservative,0.0,-5,500.0,3 - Strongly Agree,0 - Neutral,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,72.0,Married,0.0,Non-Metro Area,13.0,67.5,1.0,0.0,0.0,2.5,0.0,0.9,0.15,0.0,1.0,1.0,0.0,0.42703333,1.0,0.0,ME,7.407407407407407,1,1,0,0
Conservative,1.0,-4,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,25.0,Married,1.0,Metro Area,12.0,45.0,1.0,0.0,0.0,2.5,0.0,0.0,0.05,-0.5,1.0,1.0,0.0,0.35036665,0.0,0.0,ME,0.0,1,1,0,0
Slightly Liberal,0.0,-4,0.0,-2,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,70.0,Married,0.0,Metro Area,13.0,67.5,1.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.8,0.6666667,0.0,0.42703333,0.75,0.0,ME,0.0,1,1,0,0
Conservative,0.0,-2,60.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,70.0,0.0,1.0,Metro Area,12.0,37.5,1.0,0.0,0.0,7.5,-2.5,0.0,0.15,10.0,0.6,0.0,0.33333334,0.33863333,1.0,0.0,ME,1.6,1,1,0,0
Conservative,1.0,-3,12.0,1,0 - Neutral,-1,Above-average financial risks expecting to earn above-average returns.,Female,41.0,0.0,0.0,Metro Area,16.0,55.0,1.0,0.0,0.0,2.5,0.0,-0.1,0.25,-3.0,0.8,0.6666667,0.0,0.42703333,1.0,0.0,ME,0.21818181818181817,1,1,1,0
Moderate,0.0,-4,0.0,0 - Neutral,2,0 - The right amount,No financial risks.,Male,20.0,0.0,0.0,Metro Area,13.0,32.5,1.0,0.0,0.0,17.5,0.0,0.0,0.15,5.0,0.4,1.0,0.0,0.22703333,0.5,7.5,ME,0.0,1,1,0,0
Moderate,0.0,-6,5.0,0 - Neutral,2,0 - The right amount,No financial risks.,Male,53.0,0.0,0.0,Metro Area,12.0,12.5,0.0,0.0,1.0,2.5,0.0,0.0,0.15,0.0,1.0,0.33333334,0.0,0.42703333,1.0,0.0,ME,0.4,1,1,0,0
Moderate,0.0,-3,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Male,59.0,0.0,1.0,Non-Metro Area,12.0,32.5,1.0,0.0,0.0,7.5,0.0,-0.1,0.25,7.0,1.0,1.0,0.0,0.42703333,0.0,0.0,ME,0.0,1,1,0,0
Moderate,0.0,-4,60.0,1,3 - Strongly Agree,1,Average financial risks expecting to earn average returns.,Female,26.0,0.0,1.0,Metro Area,16.0,92.5,1.0,0.0,0.0,2.5,0.0,0.0,0.35,2.0,1.0,1.0,0.0,0.42703333,1.0,17.5,ME,0.6486486486486487,1,1,1,0
Extremely Conservative,1.0,-5,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,66.0,Married,1.0,Non-Metro Area,14.0,80.0,1.0,0.0,0.0,2.5,0.0,-0.2,0.25,-8.0,1.0,0.6666667,0.6666667,0.3937,1.0,0.0,ME,0.0,1,1,0,0
Moderate,0.0,-5,20.0,1,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,32.0,0.0,1.0,Non-Metro Area,14.0,45.0,1.0,0.0,0.0,7.5,-50.0,0.1,0.25,0.0,0.2,0.0,0.6666667,0.17703333,0.75,17.5,ME,0.4444444444444444,1,1,0,0
Slightly Conservative,0.0,-4,4.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Male,66.0,Married,0.0,Non-Metro Area,16.0,92.5,1.0,0.0,0.0,-7.5,0.0,0.0,0.05,5.0,1.0,0.6666667,0.0,0.42703333,1.0,0.0,ME,0.043243243243243246,1,1,1,0
Moderate,0.0,-5,10.0,1,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,30.0,Married,0.0,Non-Metro Area,13.0,37.5,0.0,0.0,0.0,-50.0,-37.5,0.2,0.45,6.0,0.6,0.33333334,0.33333334,0.42703333,0.75,17.5,ME,0.26666666666666666,1,1,0,0
Moderate,0.0,-5,0.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,27.0,0.0,1.0,Metro Area,16.0,92.5,1.0,0.0,0.0,7.5,0.0,0.0,0.05,2.0,1.0,1.0,0.0,0.42703333,1.0,0.0,ME,0.0,1,1,1,0
Moderate,0.0,-2,5.0,0 - Neutral,1,-1,No financial risks.,Male,41.0,Married,0.0,Non-Metro Area,10.0,162.5,1.0,0.0,0.0,2.5,0.0,-0.5,0.25,0.0,0.4,0.0,0.6666667,0.17036666,0.75,37.5,ME,0.03076923076923077,1,1,0,0
Conservative,1.0,-6,0.0,-3 - Strongly Disagree,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,76.0,Married,0.0,Metro Area,13.0,80.0,1.0,0.0,0.0,0.0,0.0,-0.1,0.45,,1.0,0.33333334,0.6666667,0.21036667,0.75,0.0,MI,0.0,1,1,0,0
Liberal,0.0,-3,6.0,1,2,0 - The right amount,No financial risks.,Male,41.0,Married,1.0,Metro Area,16.0,45.0,1.0,0.0,0.0,0.0,0.0,0.1,0.05,5.0,1.0,1.0,0.0,0.42703333,0.5,0.0,MI,0.13333333333333333,1,1,1,0
Liberal,1.0,-4,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,32.0,Married,1.0,Non-Metro Area,16.0,55.0,1.0,0.0,0.0,7.5,0.0,0.0,0.05,-5.0,1.0,1.0,0.0,0.42703333,1.0,0.0,MI,0.0,1,1,1,0
Moderate,0.0,-3,250.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,50.0,0.0,0.0,Metro Area,13.0,5.0,1.0,0.0,0.0,-50.0,-50.0,0.0,0.15,5.0,0.6,0.0,0.6666667,0.42703333,1.0,-7.5,MI,50.0,1,1,0,0
Slightly Liberal,1.0,-5,0.0,2,3 - Strongly Agree,-2,Average financial risks expecting to earn average returns.,Female,22.0,0.0,1.0,Metro Area,13.0,22.5,1.0,0.0,0.0,-50.0,0.0,0.0,0.15,1.0,0.8,0.33333334,0.0,0.42703333,1.0,-50.0,MI,0.0,1,1,0,0
Extremely Conservative,0.0,-5,120.0,1,1,1,Average financial risks expecting to earn average returns.,Male,34.0,0.0,1.0,Non-Metro Area,12.0,67.5,1.0,0.0,0.0,7.5,7.5,-0.1,0.35,0.0,0.8,0.33333334,1.0,0.22703333,1.0,7.5,MI,1.7777777777777777,1,1,0,0
Slightly Conservative,1.0,-5,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Male,33.0,Married,1.0,Non-Metro Area,16.0,32.5,1.0,0.0,0.0,2.5,-50.0,0.0,0.05,0.0,1.0,1.0,0.0,0.8137,0.0,-50.0,MI,0.0,1,1,1,0
Moderate,0.0,-6,1.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Female,53.0,0.0,1.0,Metro Area,13.0,45.0,1.0,0.0,0.0,7.5,0.0,-0.1,0.15,-8.0,0.8,0.6666667,0.0,0.42703333,0.75,0.0,MI,0.022222222222222223,1,1,0,0
Moderate,0.0,-6,275.0,2,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,59.0,0.0,1.0,Metro Area,14.0,32.5,0.0,1.0,0.0,0.0,2.5,0.0,0.35,5.0,0.8,0.33333334,0.6666667,0.56703335,1.0,0.0,MI,8.461538461538462,1,1,0,0
Extremely Conservative,0.0,-4,100.0,3 - Strongly Agree,3 - Strongly Agree,3 - Far too much,Above-average financial risks expecting to earn above-average returns.,Female,32.0,0.0,1.0,Metro Area,12.0,137.5,1.0,0.0,0.0,-17.5,0.0,4.35,0.45,0.0,0.4,0.33333334,0.0,0.3937,1.0,50.0,MI,0.7272727272727273,1,1,0,0
Liberal,0.0,-5,6.0,-1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,59.0,Married,1.0,Non-Metro Area,18.0,112.5,1.0,0.0,0.0,2.5,0.0,0.0,0.15,7.0,1.0,1.0,0.0,0.42703333,0.0,0.0,MI,0.05333333333333334,1,1,1,0
Moderate,0.0,-5,20.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,60.0,0.0,1.0,Metro Area,18.0,112.5,1.0,0.0,0.0,2.5,7.5,0.0,0.25,8.0,0.8,1.0,0.6666667,0.33863333,1.0,2.5,MI,0.17777777777777778,1,1,1,0
Liberal,0.0,-5,8.0,2,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,72.0,0.0,0.0,Metro Area,18.0,67.5,1.0,0.0,0.0,7.5,17.5,0.5,0.75,2.0,1.0,1.0,0.0,0.42703333,0.5,37.5,MI,0.11851851851851852,1,1,1,0
Moderate,0.0,-5,60.0,1,2,1,No financial risks.,Male,42.0,Married,1.0,Metro Area,13.0,55.0,1.0,0.0,0.0,2.5,2.5,0.0,0.05,0.0,0.2,0.0,1.0,0.7937,1.0,0.0,MI,1.0909090909090908,1,1,0,0
Liberal,1.0,-5,3.0,2,1,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,31.0,Married,1.0,Metro Area,18.0,250.0,1.0,0.0,0.0,2.5,0.0,0.0,0.35,-1.0,1.0,1.0,0.0,0.22036667,0.0,0.0,MI,0.012,1,1,1,0
Moderate,1.0,-3,0.0,0 - Neutral,0 - Neutral,-1,No financial risks.,Female,84.0,0.0,0.0,Non-Metro Area,13.0,32.5,1.0,0.0,0.0,2.5,0.0,0.0,0.05,5.0,0.6,0.6666667,0.0,0.072966665,1.0,0.0,MI,0.0,1,1,0,0
Liberal,0.0,-2,2.0,-1,3 - Strongly Agree,-1,Average financial risks expecting to earn average returns.,Female,31.0,Married,1.0,Metro Area,16.0,112.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.42703333,0.25,0.0,MI,0.017777777777777778,1,1,1,0
Slightly Liberal,0.0,-3,0.0,1,3 - Strongly Agree,0 - The right amount,No financial risks.,Female,22.0,0.0,1.0,Metro Area,13.0,32.5,1.0,0.0,0.0,17.5,0.0,0.0,0.25,8.0,0.6,0.6666667,0.0,0.42703333,0.25,37.5,MI,0.0,1,1,0,0
Extremely Conservative,1.0,-3,1.0,0 - Neutral,1,-2,Average financial risks expecting to earn average returns.,Female,34.0,0.0,1.0,Non-Metro Area,16.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,10.0,0.6,0.33333334,1.0,0.47703335,1.0,2.5,MI,0.01818181818181818,1,1,1,0
Slightly Liberal,0.0,-4,5.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,44.0,Married,1.0,Metro Area,13.0,92.5,1.0,0.0,0.0,2.5,0.0,0.0,0.15,5.0,1.0,0.6666667,0.0,0.42703333,0.5,0.0,MI,0.05405405405405406,1,1,0,0
Liberal,0.0,-4,4.0,2,3 - Strongly Agree,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,67.0,0.0,0.0,Metro Area,14.0,32.5,1.0,0.0,0.0,2.5,-2.5,-0.2,0.25,7.0,1.0,0.6666667,0.0,0.37703332,0.0,0.0,MI,0.12307692307692308,1,1,0,0
Slightly Conservative,0.0,-3,10.0,2,2,-1,Average financial risks expecting to earn average returns.,Female,63.0,Married,0.0,Metro Area,14.0,55.0,1.0,0.0,0.0,0.0,2.5,0.0,0.25,4.0,0.8,0.33333334,0.6666667,0.62703335,1.0,7.5,MI,0.18181818181818182,1,1,0,0
Slightly Liberal,1.0,-4,0.0,1,1,0 - The right amount,No financial risks.,Female,42.0,Married,1.0,Metro Area,14.0,67.5,1.0,0.0,0.0,7.5,0.0,0.0,0.25,-2.0,1.0,0.6666667,0.6666667,0.072966665,0.25,2.5,MI,0.0,1,1,0,0
Moderate,1.0,-2,0.0,-2,-2,0 - The right amount,Average financial risks expecting to earn average returns.,Male,87.0,Married,0.0,Metro Area,12.0,27.5,1.0,0.0,0.0,2.5,0.0,0.0,0.25,-8.0,0.8,0.33333334,0.6666667,0.3053,0.75,0.0,MI,0.0,1,1,0,0
Conservative,1.0,-4,0.0,,-2,0 - The right amount,No financial risks.,Female,33.0,0.0,1.0,Metro Area,18.0,55.0,1.0,0.0,0.0,37.5,0.0,0.0,0.35,0.0,0.4,0.0,1.0,0.2387,1.0,0.0,MI,0.0,1,1,1,0
Slightly Liberal,0.0,-5,20.0,2,0 - Neutral,0 - The right amount,Average financial risks expecting to earn average returns.,Female,31.0,Married,0.0,Metro Area,14.0,67.5,1.0,0.0,0.0,-2.5,0.0,-0.1,0.75,8.0,1.0,0.33333334,0.0,0.42703333,1.0,0.0,MI,0.2962962962962963,1,1,0,0
Moderate,1.0,-3,0.0,-3 - Strongly Disagree,0 - Neutral,0 - The right amount,No financial risks.,Male,29.0,0.0,0.0,Metro Area,13.0,27.5,0.0,0.0,0.0,37.5,0.0,0.0,0.15,2.0,0.8,1.0,0.0,0.8137,0.0,0.0,MI,0.0,1,1,0,0
Slightly Conservative,1.0,-4,0.0,0 - Neutral,0 - Neutral,0 - The right amount,No financial risks.,Female,37.0,Married,0.0,Metro Area,16.0,92.5,1.0,0.0,0.0,0.0,0.0,0.0,0.15,-8.0,0.8,0.6666667,0.0,0.7270333,1.0,0.0,MI,0.0,1,1,1,0
Liberal,0.0,-3,5.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,24.0,0.0,1.0,Metro Area,13.0,7.5,0.0,1.0,0.0,0.0,0.0,0.3,0.35,0.0,0.2,0.6666667,0.0,0.42703333,1.0,0.0,MI,0.6666666666666666,1,1,0,0
Conservative,0.0,-7 - Very willing,20.0,3 - Strongly Agree,3 - Strongly Agree,0 - The right amount,Average financial risks expecting to earn average returns.,Female,55.0,Married,0.0,Non-Metro Area,16.0,27.5,0.0,1.0,0.0,-17.5,0.0,0.1,0.25,-2.0,0.6,0.33333334,1.0,0.8103667,1.0,7.5,MI,0.7272727272727273,1,1,1,0
Liberal,0.0,-6,2.0,1,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Male,40.0,0.0,1.0,Metro Area,18.0,92.5,0.0,0.0,0.0,2.5,0.0,0.0,0.05,8.0,0.8,1.0,0.0,0.072966665,0.5,0.0,MI,0.021621621621621623,1,1,1,0
Moderate,1.0,-2,0.0,0 - Neutral,-3 - Strongly Disagree,0 - The right amount,Average financial risks expecting to earn average returns.,Male,41.0,Married,1.0,Non-Metro Area,13.0,55.0,1.0,0.0,0.0,-2.5,0.0,0.0,0.15,2.0,1.0,1.0,0.0,0.0753,0.25,0.0,MI,0.0,1,1,0,0
Moderate,0.0,-1 - Very unwilling,100.0,-3 - Strongly Disagree,-2,-3 - Far too little,No financial risks.,Male,49.0,0.0,0.0,Non-Metro Area,14.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,7.0,0.6,0.0,0.6666667,0.5603667,0.75,0.0,MI,13.333333333333334,1,1,0,0
Slightly Liberal,0.0,-3,50.0,1,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,73.0,Married,0.0,Metro Area,16.0,162.5,1.0,0.0,0.0,17.5,-50.0,0.0,0.25,2.0,0.8,0.6666667,0.0,0.37036666,1.0,0.0,MI,0.3076923076923077,1,1,1,0
Moderate,1.0,-4,1.0,0 - Neutral,1,0 - The right amount,Average financial risks expecting to earn average returns.,Male,26.0,0.0,1.0,Metro Area,16.0,45.0,1.0,0.0,0.0,2.5,0.0,0.0,0.05,1.5,1.0,1.0,0.0,0.6719667,0.0,0.0,MI,0.022222222222222223,1,1,1,0
Slightly Liberal,0.0,-4,100.0,0 - Neutral,3 - Strongly Agree,0 - The right amount,No financial risks.,Male,49.0,0.0,0.0,Non-Metro Area,12.0,45.0,1.0,0.0,0.0,50.0,0.0,0.0,0.35,5.0,0.8,0.33333334,0.0,0.42703333,1.0,0.0,MI,2.2222222222222223,1,1,0,0
Moderate,0.0,-5,300.0,-1,0 - Neutral,-2,Above-average financial risks expecting to earn above-average returns.,Female,31.0,0.0,1.0,Metro Area,13.0,7.5,0.0,0.0,0.0,-17.5,-2.5,-4.35,0.45,0.0,0.4,0.33333334,0.6666667,0.1347,1.0,-2.5,MI,40.0,1,1,0,0
Conservative,1.0,-7 - Very willing,100.0,1,1,1,Substantial financial risks expecting to earn substantial returns.,Male,31.0,0.0,1.0,Non-Metro Area,16.0,80.0,1.0,0.0,0.0,2.5,2.5,0.0,0.05,8.0,0.6,0.6666667,0.6666667,0.6803667,1.0,2.5,MI,1.25,1,1,1,0
Slightly Conservative,0.0,-4,10.0,2,2,0 - The right amount,Above-average financial risks expecting to earn above-average returns.,Female,50.0,Married,1.0,Non-Metro Area,13.0,55.0,1.0,0.0,0.0,2.5,0.0,-0.1,0.15,7.0,1.0,0.6666667,0.0,0.0387,0.0,0.0,MI,0.18181818181818182,1,1,0,0
Liberal,0.0,-5,20.0,2,2,1,Average financial risks expecting to earn average returns.,Male,56.0,Married,1.0,Non-Metro Area,18.0,112.5,1.0,0.0,0.0,-2.5,7.5,0.0,0.05,0.0,1.0,0.6666667,0.0,0.42703333,0.5,0.0,MI,0.17777777777777778,1,1,1,0
